# mammos csv v3
#----------------------------------------
# Hysteresis loop.
# Generated from mammos_mumag 0.11.0.
# `configuration_type` is the name of the corresponding vtu file containing the magnetization.
# `B_ext` is the applied magnetic flux density.
# `J` is the polarisation in the direction of the applied magnetic flux.
# `Jx`, `Jy`, `Jz` are the components of the polarisation.
# `energy_density` is the energy density.
#----------------------------------------
,MagneticFluxDensity,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,MagneticPolarisation,EnergyDensity
,,,,,,
,https://w3id.org/emmo#EMMO_961d1aba_f75e_4411_aaa4_457f7516ed6b,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo#EMMO_74a096dd_cc83_4c7e_b704_0541620ff18d,https://w3id.org/emmo/domain/magnetic-materials#EMMO_56258d3a-f2ee-554e-af99-499dd8620457
,T,T,T,T,T,J / m3
configuration_type,B_ext,J,Jx,Jy,Jz,energy_density
1,0.7099999999999997,2.1362764015227342,0.00022278110235084944,8.243677254094282e-05,2.1362764015227342,-669802.3449472495
1,0.7049999999999997,2.1362763559404514,0.0002242555753689292,8.298291176796045e-05,2.1362763559404514,-661302.3713087398
1,0.6999999999999997,2.1362763097368616,0.0002257498554979626,8.353633612436732e-05,2.1362763097368616,-652802.3978528291
1,0.6949999999999997,2.1362762628977516,0.00022726415027369778,8.409716296777806e-05,2.1362762628977516,-644302.4245820116
1,0.6899999999999997,2.1362762154119466,0.00022879955788209088,8.46656586336229e-05,2.1362762154119466,-635802.4514988381
1,0.6849999999999997,2.13627616725555,0.00023035234002707458,8.524083272420475e-05,2.13627616725555,-627302.4786059457
1,0.6799999999999997,2.136276118433474,0.00023192637120125607,8.582341632973589e-05,2.136276118433474,-618802.5059059669
1,0.6749999999999997,2.1362760689066693,0.00023351647752259993,8.64123093760314e-05,2.1362760689066693,-610302.5334016716
1,0.6699999999999997,2.1362760186901633,0.0002351453937031272,8.70152967333571e-05,2.1362760186901633,-601802.56109575
1,0.6649999999999997,2.1362759677187153,0.00023678789457173493,8.76233465381687e-05,2.1362759677187153,-593302.5889911869
